Employee ID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,years with company
E02752,Samuel Cruz,Manager,Human Resources,Specialty Products,Male,Latino,61,1993-04-30,157672.0,11.0,United States,Miami,,30.0986301369863
E02406,Gianna Alvarez,Business Partner,Human Resources,Manufacturing,Female,Latino,58,1993-05-11,49293.0,0.0,United States,Columbus,,30.068493150684933
E02417,Ivy Do,Analyst,Accounting,Corporate,Female,Asian,57,1993-05-13,57230.0,0.0,United States,Austin,,30.063013698630137
E02352,Ivy Liu,Analyst,Marketing,Manufacturing,Female,Asian,59,1993-05-29,55476.0,0.0,China,Chongqing,,30.019178082191782
E02559,Jackson Gupta,Service Desk Analyst,IT,Research & Development,Male,Asian,65,1993-06-27,77065.0,0.0,United States,Seattle,,29.93972602739726
E02290,Hailey Chin,Manager,IT,Corporate,Female,Asian,54,1993-07-10,135642.0,10.0,China,Beijing,,29.904109589041095
E02073,Alice Luu,System Administrator ,IT,Research & Development,Female,Asian,60,1993-07-17,81083.0,0.0,United States,Columbus,,29.884931506849316
E02423,Gianna Ramirez,Field Engineer,Engineering,Specialty Products,Female,Latino,59,1993-07-25,69245.0,0.0,United States,Phoenix,,29.863013698630137
E02568,Elizabeth Griffin,Cloud Infrastructure Architect,IT,Corporate,Female,Caucasian,60,1993-09-10,63979.0,0.0,United States,Miami,,29.734246575342464
E02119,Ayla Espinoza,Director,Human Resources,Research & Development,Female,Latino,60,1993-10-01,199705.0,26.0,Brazil,Rio de Janeiro,,29.676712328767124
E02059,Piper Garcia,Manager,Sales,Research & Development,Female,Latino,60,1993-11-24,126929.0,12.0,Brazil,Sao Paulo,,29.528767123287672
E02723,Mateo Vargas,Network Architect,IT,Specialty Products,Male,Latino,53,1994-04-20,75226.0,0.0,Brazil,Rio de Janeiro,,29.126027397260273
E02176,Jayden Zhang,Enterprise Architect,IT,Specialty Products,Male,Asian,64,1994-06-27,70516.0,0.0,China,Chengdu,,28.93972602739726
E02696,Everleigh Kumar,Manager,IT,Manufacturing,Female,Asian,65,1994-07-05,125213.0,7.0,United States,Seattle,,28.91780821917808
